	B cells naive	CAFs	T cells CD4 naive 	CD8_T cells	Endothelial	Macrophages M0	NK cells activated
CAPN11	0	0	0	0.0229598175946473	19.102603149892	0.0337802775133456	0
CAPN12	7.20182384112484	1.41868842491541	5.73562727119969	10.4812524514755	0	0.114143521440849	64.388667493045
CAPN13	0	0	0.131449129191695	0.251592580906389	0	0	0
CAPN14	0.229664762190777	0	0.0775702104828173	0.036266599352388	0	0	0
CAPN2	54.1963196542889	155.864233874486	147.406950058746	145.34081039297	170.329415962672	37.7662100674191	173.843719169075
CAPN3	45.8618024413187	35.5629945859162	43.5535803060985	16.1896245384404	0	24.4083099120839	20.1965646052231
CAPN5	0	27.7074452945906	4.42928757803597	0.587560243705033	2.77272841943987	0	0
CAPN6	0.0711261843054306	0	0.0332127004644499	0.250666428735902	0	0	0
CAPN7	40.5964013155929	10.7187956719941	17.2811882876238	16.6427107346405	36.1161059997112	5.26628438068465	6.10991270528289
CAPN8	0.137253988689666	0	0.734446916901216	0.0263949134455557	0	0	0
CAPN9	0	0	0.0713940044796497	0.00784880279513046	0	0	0
CAPNS1	28.2376705996377	105.782756594945	37.5647292379081	37.040550810732	155.648132362	64.6396208897481	33.5928379824029
CAPNS2	0	0	0.027879341714045	0.201447375055545	0	12.3974535161019	0
CAPRIN1	53.911592992015	73.1509157556565	81.6657104960713	90.8158713705192	94.8244111823928	48.960318218607	59.8614262621475
CAPRIN2	6.39569043342631	1.0149990428171	8.55689014361118	10.3606527581195	25.1684926468491	5.21121181820774	15.3775148714579
CAPS	49.8384732659769	4.37257637162728	27.0345342583407	11.5516761784175	19.8234773333767	2.86466515878279	25.1314995058472
CAPS2	0	0	0	0.124585807274432	0	0.0726841874557524	0
CAPSL	0	0	0.0959998750329972	0.441930040507517	0	0	0
CAPZA1	449.138031486157	165.448479552648	420.429693073213	502.815663472949	85.5243913722855	376.013762857539	495.357692602733
CAPZA2	87.9133782173111	96.1610152148452	117.764528332785	145.010242154846	347.542854870566	254.125551461362	103.56126805981
CAPZA3	0	0	0	0.0611451898882147	0	0	0
CAPZB	177.567951311448	211.580181177559	222.066203813374	253.103637401313	77.4354725544827	229.696034019729	236.008336581878
CARD10	0.856412455789061	26.7388776109859	0.100666490954564	0.203469234333491	51.3515194751423	0.026098271911058	0.165163101881901
CARD11	21.0045899640678	0	16.4030335707871	24.1378667674218	0	2.5585561979266	27.28051138538
CARD14	0	0	0.365252309052875	1.0523259205218	0	1.04878618763955	8.54256179752212
CARD16	39.2927594518974	1.30129589734051	166.575695083156	98.9644756683639	197.610301499545	204.298675576675	190.295616061898
CARD17	0	0	6.03768666999305	2.61867215175071	0	0	0
CARD18	0	0	0	0	0	0.235364818176133	0
CARD6	18.2487042937109	7.14133150915745	10.3933354888971	6.5510859502253	16.8719385959934	7.98234674651687	2.11394026613842
CARD8	54.8003977446966	15.2990217325597	87.0994157096501	85.2825279618197	37.3492839677783	47.9123649215482	179.448106049516
CARD9	0	0	0.737708385703614	0.0393370825851598	0	61.5581257366399	0
CARHSP1	23.3133691041136	33.7172489798839	16.6699080783819	13.8097542867313	46.1037126219753	7.22105478151043	17.9133319904078
CARKD	20.4430142919873	15.5820945212092	28.6304642147819	33.7982667018385	19.647356831675	14.0636658861908	0
CARM1	1.78782992278612	3.3976654741566	1.11004874410566	1.4415093067025	5.71847645234338	1.29803400320679	1.57098184578866
CARNS1	1.89260488526663	0	0.191763470033035	5.48547955071954	0	0.546567353431518	8.93979796039392
CARS	39.5737848789623	96.5262812983678	34.6917314410162	57.0257999987605	11.6591096352136	16.8726891826485	42.8939600730381
CARS2	13.6291070729003	2.98985464748463	8.00455551288426	19.5268647449911	0	13.7162275310765	0
CARTPT	0	0	0	0.032731212112115	0	0	0
CASC1	1.35135889208711	0	1.32291632447359	0.820022054621645	0	0.0619512753951208	0.523265213899685
CASC2	0	0	0	0.0178583139350647	0	0.00463429126421754	0
CASC3	53.9855928544183	21.8652857155641	48.1090997053021	42.9130005765215	29.2063570267467	11.8709711095647	16.5190212731373
CASC4	43.8217677864149	50.0460155903198	29.8888100636534	62.8089409940322	45.8044750534974	34.3112234657061	81.5602235734539
CASC5	1.74685147158898	0	0.651791715383292	4.28313923733147	0	0.038169302961701	0
CASD1	1.538013658486	0	2.00411450064568	4.84120869446515	0.718202698984337	5.07881095467256	0
CASK	0	0	9.00247736204176	2.82657641559015	1.33638443847108	0.0315847059700575	3.34947626552972
CASKIN1	0	0	0	0.0213048719764831	0	0	0
CASKIN2	0	0	0.125014054298533	0.281627820118491	38.9176384521953	0.140846627064306	0
CASP1	92.2165895698426	22.2127984584993	176.632003783447	178.206228960828	90.1762495038423	268.877970307758	127.086774900558
CASP10	23.7977853083695	3.64241496888014	9.3883777351641	10.7324663681772	12.6400539215935	14.8913619755868	32.3826401973
CASP12	0	0	13.2952928940486	0.276696952082416	0	0	0
CASP14	0.946883950311617	0.31624901943604	1.58087533074264	1.94602516430657	0.3200093753534	0.691575516642019	1.19132724752099
CASP2	107.084383586549	30.5779245233478	78.0967637916386	81.6522520224821	46.7549603984753	19.9814263324246	111.139078655011
CASP3	47.4193678295931	31.9572212569285	30.1545771475368	91.0306751416153	0.879988200184379	28.4914930134868	69.743175509485
CASP4	307.377245961812	91.8341327688247	282.802818572128	227.588575951267	220.606141961622	263.047693205977	301.359236063121
CASP5	0.710946726806799	0	0.683577105069757	0.249620295205798	0	13.0344447454414	0.416782766803725
CASP6	7.44271165695079	33.8306293947498	41.7902558390078	24.9231011240546	36.0249904104141	9.29057753698163	8.6978273614866
CASP7	20.1570398938267	24.4140499766747	25.5105902975396	81.8075585932745	41.1586031672314	29.3962865431834	2.75683885435357
CASP8	52.919225921121	0.830003217176928	129.557100076653	98.7001180597499	45.5461781054177	19.0261066536205	151.682318410283
CASP8AP2	18.7605672555868	5.94627231474569	20.0085304471805	12.3232942091925	23.476825015781	5.50448125171996	39.1110522403588
